Date,Time(UTC),Time(IST),Lat,Lang,Depth(KM),Magnitude,Region
2014-11-22,13:08:18,18:38:18,36.7 °N,137.8 °E,10,6.2,"Honshu(Nagano),Japan"
2014-11-22,11:34:50,17:04:50,17.3 °N,73.8 °E,15,3.6,"Satara, Maharashtra"
2014-11-22,08:55:28,14:25:28,30.3 °N,101.7 °E,10,6,"Sichuan, China"
2014-11-21,22:45:38,04:15:38/22-11,34.3 °N,79.0 °E,85,4.3,India(J&K)
2014-11-21,16:11:15,21:41:15,23.6 °N,93.4 °E,46,4.7,India(Mzoram)
2014-11-21,10:10:22,15:40:22,02.2 °N,127.0 °E,60,6.6,Molucca Sea
2014-11-21,08:58:06,14:28:06,36.6 °N,71.1 °E,210,5.3,Hindukush(Afghanistan)
2014-11-20,22:45:22,04:15:22/21-11,23.5 °N,93.6 °E,80,4.3,Myanmar-India Border
2014-11-20,18:14:32,23:44:32,23.8 °N,93.5 °E,33,5.6,Myanmar-India Border
2014-11-20,06:05:47,11:35:47,07.3 °N,94.4 °E,10,4.7,Nicobar Island
2014-11-19,15:26:00,20:56:00,24.5 °N,72.4 °E,5,2.9,Sirohi(Rajasthan)
2014-11-18,15:55:26,21:25:26,32.7 °N,76.0 °E,5,3.7,Chamba(HP)
2014-11-18,06:12:08,11:42:08,07.1 °N,94.1 °E,10,4.6,Nicobar Island
2014-11-18,06:06:17,11:36:17,06.8 °N,95.0 °E,10,4.8,Nicobar Island
2014-11-18,04:47:21,10:17:21,01.9 °N,126.2 °E,50,6.1,Molucca Sea
2014-11-18,03:25:43,08:55:43,07.4 °N,94.4 °E,10,5.4,Nicobar Island
2014-11-17,08:59:42,14:29:42,35.1 °N,77.4 °E,19,3.9,Jammu and Kashmir
2014-11-17,05:08:10,10:38:10,07.5 °N,94.5 °E,55,4.7,Andaman Sea
2014-11-17,04:34:09,10:04:09,20.7 °N,94.3 °E,64,5.5,Mayanmar
2015

2015-12-31,03:23:22,08:53:22,07.2 °N,94.4 °E,10,4.5,Nicobar Islands
2015-12-30,17:24:54,22:54:54,25.1 °N,91.1 °E,10,3.7,Bangladesh
2015-12-29,15:50:22,21:20:22,32.2 °N,79.3 °E,10,2.9,"Chamoli,Uttarakhand"
2015-12-27,04:42:50,10:12:50,25.4 °N,91.9 °E,5,2.7,"Shillong,Meghalaya"
2015-12-25,19:14:46,00:44:46/26-12,36.5 °N,71.2 °E,186,6.5,Hindukush Afghanistan
2015-12-23,13:27:12,18:57:12,25.8 °N,94.7 °E,48,4.2,"Tuensung,Nagaland"
2015-12-18,22:16:55,03:46:55/19-12,29.3 °N,81.7 °E,10,5.4,Nepal
2015-12-17,19:49:53,01:19:53/18-12,15.9 °N,93.2 °W,91,6.5,"Chiapas,Mexico"
2015-12-16,04:48:16,10:18:16,13.5 °N,94.0 °E,10,4.8,Andaman Islands
2015-12-15,02:35:14,08:05:14,24.2 °N,86.6 °E,10,4.2,Devghar Jharkhand
2015-12-13,18:24:25,23:54:25,26.2 °N,92.3 °E,36,3.3,Assam Karbi Anglong
2015-12-09,10:21:53,15:51:53,04.2 °S,129.4 °E,72,6.8,Indonesia
2015-12-07,07:50:02,13:20:02,38.1 °N,72.9 °E,25,7.0,Tajakistan
2015-12-06,12:35:17,18:05:17,28.8 °N,76.8 °E,05,2.9,"Rohtak,Haryana"
2015-12-04,22:24:59,03:54:59/05-12,47.6 °S,85.1 °E,10,7.0,Southeast Indian Ridge
2015-12-03,01:48:15,07:18:15,02.7 °N,95.6 °E,10,4.8,Northern Sumatra Indonesia
2015-11-29,02:47:38,08:17:38,30.6 °N,79.6 °E,10,4.0,"Chamoli,Uttrakhand"
2015-11-27,21:00:21,02:30:21/28-11,24.8 °S,70.3 °W,21,6.2,Chile
2015-11-27,15:46:43,23:16:43,02.8 °N,96.4 °E,40,4.8,"Coast Sumatra, Indonesia"
2015-11-27,11:40:37,17:10:37,34.9 °N,73.8 °E,67,4.8,Pakistan
2015-11-27,08:34:02,14:04:02,22.5 °N,94.7 °E,47,5.2,Myanmar
2015-11-26,05:45:18,11:15:18,09.2 °S,71.2 °W,600,6.5,Peru-Brazil Border Region
2015-11-25,16:15:07,21:45:07,26.4 °N,92.8 °E,10,4.9,"Nagaon, Assam"
2015-11-24,22:50:52,04:20:52/11-25,10.0 °S,71.0 °W,613,7.1,Peru-Brazil Border Region
2015-11-24,22:45:37,04:15:37/11-25,10.6 °S,70.9 °W,593,7.0,Peru-Brazil Border Region
2015-11-22,18:16:02,23:46:02,36.5 °N,71.6 °E,80,6.0,"Hindukush,Afghanistan"
2015-11-19,04:15:52,09:45:52,27.8 °N,85.6 °E,20,5.0,Nepal
2015-11-18,18:31:01,00:01:04/19-11,9.0 °S,158.4 °E,10,7.0,Solomon Islands
2015-11-18,14:31:21,20:01:21,34.0 °N,74.7 °E,10,3.1,Jammu and Kashmir
2015-11-18,08:25:41,13:55:41,29.8 °N,80.5 °E,15,3.3,Nepal-India Border
2015-11-16,16:49:16,22:19:16,48.3 °N,154.2 °E,40,6.1,Kuril Islands
2015-11-14,16:53:40,22:23:40,7.1 °N,94.9 °E,10,4.9,Nicobar Islands
2015-11-13,20:51:36,02:21:36/14-11,31.2 °N,128.7 °E,10,6.8,East China Sea
2015-11-13,07:44:33,13:14:33,29.8 °N,80.2 °E,10,3.0,Pithoragarh
2015-11-11,02:46:21,08:16:21,29.5 °S,71.6 °W,10,6.5,Chile
2015-11-11,01:54:37,07:24:37,29.4 °S,72.2 °W,10,6.6,Chile
2015-11-09,16:03:49,21:33:49,51.9 °N,173.1 °W,35,6.2,North Pacific Sea
2015-11-09,08:12:53,13:42:53,6.7 °N,94.8 °E,60,5.4,Nicobar Islands
2015-11-09,06:12:24,11:42:24,6.5 °N,94.8 °E,10,5.1,Nicobar Islands
2015-11-08,19:14:48,00:44:48/09-11,6.8 °N,94.3 °E,10,4.9,Nicobar Islands
2015-11-08,18:48:47,00:18:47/09-11,6.6 °N,94.6 °E,10,4.9,Nicobar Islands
2015-11-08,17:47:17,23:17:17,6.7 °N,94.7 °E,10,4.7,Nicobar Islands
2015-11-08,16:59:26,22:29:26,7.1 °N,94.6 °E,10,5.6,Nicobar Islands
2015-11-08,16:47:07,22:17:07,6.9 °N,94.6 °E,10,6.0,Nicobar Islands
2015-11-08,14:47:08,20:17:08,7.0 °N,94.6 °E,50,4.9,Nicobar Islands
2015-11-08,14:34:12,20:04:12,6.9 °N,94.8 °E,50,5.0,Nicobar Islands
2015-11-08,13:24:03,18:54:03,7.5 °N,94.5 °E,35,5.2,Nicobar Islands
2015-11-08,11:54:52,17:24:52,7.3 °N,94.5 °E,60,5.0,Nicobar Islands
2015-11-08,10:53:31,16:23:31,6.8 °N,94.6 °E,35,5.0,Nicobar Islands
2015-11-08,10:42:08,16:12:08,7.0 °N,94.6 °E,35,5.2,Nicobar Islands
2015-11-08,09:34:50,15:04:50,0.8 °N,99.0 °E,10,5.7,"Northern Sumatra,Indonesia"
2015-11-07,07:31:47,13:01:47,30.8 °S,71.1 °W,35,6.8,Chile
2015-11-04,03:44:14,09:14:14,8.3 °S,124.9 °E,10,6.5,Timor Region Indonesia
2015-10-31,05:16:46,10:46:46,25.5 °N,91.8 °E,10,4.0,Shillong
2015-10-29,22:15:53,03:45:53/30-10,24.6 °N,92.3 °E,15,4.9,"Karimganj,Assam"
2015-10-27,13:15:09,18:45:09,27.4 °N,66.0 °E,10,5.2,Pakistan
2015-10-26,09:09:31,14:40:00,36.5 °N,70.8 °E,190,7.5,Afganistan
2015-10-24,04:35:00,10:05:00,30.3 °N,80.0 °E,20,3.9,"Distt. Pithoragarh, Uttarakhand"
2015-10-23,21:20:02,02:20:02/24-10,2.5 °N,93.7 °E,10,5.2,"Northern Sumatra, Indonesia"
2015-10-23,00:27:39,05:57:39,29.7 °N,70.4 °E,25,5.6,Pakistan
2015-10-20,21:52:04,03:22:00/21-10,14.8 °N,167.3 °E,129,7.2,North of Marshall Island
2015-10-19,00:04:38,05:34:38,29.5 °N,80.3 °E,10,2.6,"Distt. Pithoragarh, Uttarakhand"
2015-10-17,06:29:42,11:59:42,25.0 °N,94.1 °E,10,3.5,Senapati-Manipur
2015-10-14,05:43:06,11:13:06,48.9 °N,156.1 °E,10,6.1,Kuril Island
2015-10-11,08:34:56,14:04:56,25.1 °N,93.8 °E,21,4.1,"Senapati,Manipur"
2015-10-10,01:48:43,07:18:43,27.2 °N,88.8 °E,15,4.5,Sikkim
2015-10-09,20:10:13,01:40:13/10-10,28.7 °N,77.4 °E,5,3.0,Delhi-NCR region
2015-10-08,01:04:17,06:34:17,31.5 °N,77.0 °E,10,3.8,"Distt. Mandi,H.P."
2015-10-02,11:29:20,16:59:20,22.5 °N,93.2 °E,05,4.0,India Mizoram-Myanmar Border
2015-09-29,09:27:17,14:57:17,29.7 °N,80.3 °E,33,4.8,"Distt. Pithoragarh,Uttarakhand"
2015-09-26,02:51:19,08:21:19,30.8 °S,71.2 °W,50,6.5,Chile
2015-09-25,16:57:38,22:27:38,26.6 °N,91.8 °E,15,4.6,"Darrang,Assam"
2015-09-24,15:53:33,21:23:33,00.6 °S,131.1 °E,63,6.8,Indonesia
2015-09-21,17:40:03,23:10:03,31.8 °S,71.4 °W,48,6.5,Chile
2015-09-21,05:39:37,11:09:37,31.6 °S,71.3 °W,52,6.0,Near Coast Of Central Chile
2015-09-18,09:10:47,14:40:47,32.3 °S,71.7 °W,26,6.1,Chile
2015-09-17,18:34:16,00:04:16/18-09,24.7 °N,94.5 °E,72,4.5,"Ukhrul,Manipur"
2015-09-17,04:10:35,09:40:35,31.4 °S,71.1 °W,66,6.3,Chile.
2015-09-17,03:55:06,09:25:06,31.0 °S,71.4 °W,45,6.1,Chile.
2015-09-16,23:18:48,04:48:48/17-09,31.5 °S,71.3 °W,30,6.5,Near Coast of Central Chile.
2015-09-16,22:54:34,04:24:34/17-09,31.5 °S,71.4 °W,10,7.7,Near Coast of Central Chile.
2015-09-16,14:03:23,19:33:23,6.0 °S,151.2 °E,15,6.1,"Near Britain Region, PNG."
2015-09-16,11:10:10,16:40:10,35.5 °N,78.6 °E,15,5.0,"J&K,India"
2015-09-15,22:38:33,04:08:33/16-09,35.5 °N,78.5 °E,10,4.4,"J&K,India"
2015-09-13,09:45:20,15:15:20,28.6 °N,76.4 °E,10,3.3,"Bhiwani,Haryana"
2015-09-13,08:14:15,13:44:15,25.1 °N,109.0 °W,10,6.5,Mexico
2015-09-09,21:03:20,02:33:20/10-09,36.0 °N,70.6 °E,98,5.1,Hindukush Region Afganistan
2015-09-07,12:55:48,18:25:48,27.6 °N,87.9 °E,15,4.2,Nepal
2015-09-07,10:13:46,15:43:46,24.3 °N,93.2 °E,10,3.3,"Distt-Churachandpur,Manipur"
2015-09-06,12:23:14,17:53:14,26.2 °N,92.8 °E,10,3.4,"Nagaon,Assam"
2015-09-05,05:39:00,11:09:00,26.3 °N,92.8 °E,10,4.0,"Nagaon,Assam"
2015-09-04,11:49:52,17:19:52,36.5 °N,70.9 °E,123,5.4,"Hindukush, Afghanistan"
2015-09-03,17:57:50,23:27:50,27.6 °N,75.6 °E,10,4.4,"Sikar,Rajasthan"
2015-09-01,19:17:04,00:47:34/02-09,36.4 °N,71.3 °E,223,5.1,"Hindukush,Afghanistan"
2015-08-30,13:17:35,18:47:35,27.5 °N,85.6 °E,15,4.0,Nepal
2015-08-28,19:21:56,00:51:56/29-08,25.5 °N,89.4 °E,10,4.0,Bangladesh-India Border
2015-08-26,01:56:52,07:26:52,18.7 °N,84.5 °E,15,3.3,"Srikakulam, AP"
2015-08-25,03:29:39,08:59:39,05.0 °N,93.1 °E,10,5.3,Northern Sumatra
2015-08-24,06:53:43,12:23:43,27.8 °N,87.1 °E,10,3.7,Nepal
2015-08-23,09:02:03,14:32:03,27.6 °N,86.0 °E,10,5.0,Nepal
2015-08-19,19:18:11,00:48:11/20-08,31.7 °N,77.0 °E,10,4.0,Himachal Pradesh
2015-08-15,18:11:39,23:41:39,27.6 °N,85.9 °E,10,4.6,Nepal
2015-08-15,05:42:24,11:12:24,27.4 °N,88.0 °E,35,4.0,Sikkim
2015-08-12,18:49:27,00:19:27/13-08,09.3 °S,157.7 °E,35,6.7,Solomon Island
2015-08-10,10:05:24,15:35:24,36.5 °N,71.3 °E,210,6.2,"Hindukush Region,Afganistan"
2015-08-10,04:12:13,09:42:13,09.3 °S,157.8 °E,10,6.7,Solomon Island
2015-08-09,22:30:26,04:00:26/10-08,28.0 °N,84.7 °E,10,4.4,Nepal
2015-08-06,21:43:37,03:13:37/07-08,30.3 °N,79.5 °E,10,2.9,Distt. Chamoli Uttarakhand
2015-08-04,16:44:38,22:14:38,36.5 °N,71.1 °E,138,5.2,Hindukush Region Afganistan
2015-08-03,20:47:48,02:17:48/04-08,11.8 °N,92.4 °E,28,4.5,Andaman Islands
2015-08-03,19:55:42,01:25:42/04-08,4.7 °N,95.2 °E,60,5.0,Northern Sumatra
2015-08-03,13:16:02,18:46:02,27.4 °N,66.1 °E,10,5.5,Pakistan
2015-07-29,02:35:58,08:05:58,60.1 °N,153.4 °W,96,6.4,Southern Alaska
2015-07-27,21:41:20,03:11:22/28-07,02.7 °S,138.5 °E,45,6.9,Irian-Jaya Indonesia
2015-07-27,07:33:42,13:03:42,27.3 °N,91.0 °E,10,4.3,Bhutan
2015-07-27,04:49:45,10:19:45,52.4 °N,169.6 °W,10,6.8,Fox Islands
2015-07-26,16:59:08,22:29:08,30.0 °N,80.4 °E,10,3.4,Uttarakhand
2015-07-26,10:04:05,15:34:05,36.6 °N,71.6 °E,10,5.0,Hindukush
2015-07-24,20:59:56,02:29:56/25-07,33.8 °N,73.1 °E,10,5.3,Pakistan
2015-07-23,14:36:05,20:06:05,21.4 °N,79.9 °E,10,3.9,"Gondiya,Maharashtra"
2015-07-23,06:04:14,11:34:14,15.8 °N,74.0 °E,9,2.9,"Sindhudurg,Maharashtra"
2015-07-18,23:48:07,05:18:07/19-07,30.5 °N,79.1 °E,13,4.3,Uttarakhand
2015-07-18,02:27:34,07:57:34,10.2 °S,165.1 °E,10,7.2,Solomon Islands
2015-07-16,15:16:31,20:46:31,13.9 °N,58.6 °W,06,6.3,North Atlantic Ocean
2015-07-15,11:26:01,16:56:01,27.5 °N,66.2 °E,14,5.3,Pakistan
2015-07-15,02:30:20,08:00:20,36.0 °N,72.0 °E,80,5.2,Hindukush Region Afghanistan
2015-07-14,14:35:50,20:05:50,35.9 °N,71.1 °E,80,5.2,Hindukush Region Afghanistan
2015-07-10,22:27:33,03:57:33/11-7,25.6 °N,90.6 °E,10,4.2,"East Garo Hills, Meghalaya"
2015-07-10,21:13:00,02:43:00/11-7,27.4 °N,86.0 °E,10,4.5,Nepal
2015-07-10,12:53:22,18:23:22,26.8 °N,90.4 °E,10,4.5,Assam
2015-07-10,04:12:41,09:42:41,09.4 °S,158.2 °E,10,6.8,Solomon Island
2015-07-07,05:10:22,10:40:22,44.00 °N,148.0 °E,10,6.6,Kuril Island
2015-07-03,20:04:08,01:34:08/04-07,27.7 °N,85.0 °E,10,4.3,Nepal
2015-07-03,06:43:17,12:43:17,10.2 °N,126.0 °E,30,6.0,Philippine Islands Region
2015-07-03,03:16:35,06:46:35,11.4 °N,95.0 °E,10,5.8,Andaman Sea
2015-07-03,01:07:45,06:37:45,37.5 °N,78.2 °E,10,6.2,"Southern Xinjiang, China"
2015-07-03,00:37:40,06:07:40,13.3 °N,93.2 °E,25,4.2,Andaman Islands
2015-07-02,07:18:24,12:48:24,34.4 °N,73.8 °E,10,5.1,India (J&K) Border
2015-07-02,01:56:12,07:26:12,27.8 °N,85.3 °E,10,4.0,Nepal
2015-06-29,22:07:45,03:37:45/30-06,36.6 °N,71.4 °E,160,5.5,Hindukush Region
2015-06-29,17:27:09,22:57:09,26.7 °N,95.0 °E,10,3.5,"Mon,Nagaland"
2015-06-28,23:57:14,05:27:14/29-06,27.6 °N,86.1 °E,10,4.6,Nepal
2015-06-28,01:05:25,06:35:25,26.5 °N,90.1 °E,10,5.6,"Kokrajhar,Assam"
2015-06-23,20:33:21,02:03:21/24-06,30.4 °N,78.3 °E,10,3.2,Uttarakhand
2015-06-20,21:28:07,02:58:07/22-06,20.4 °S,178.4 °W,547,6.2,Fiji Islands
2015-06-20,12:23:04,17:53:04,28.5 °N,82.7 °E,10,4.2,Nepal
2015-06-20,02:10:12,07:40:12,36.3 °S,73.6 °W,38,6.5,Chile
2015-06-18,14:36:07,20:06:07,22.8 °N,92.2 °E,33,3.8,India-Bangladesh Border
2015-06-17,12:51:41,18:21:41,35.5 °S,16.3 °W,82,6.8,South Atlantic Ocean
2015-06-17,02:15:16,07:45:16,28.1 °N,85.6 °E,10,4.4,Nepal-China Border
2015-06-17,00:30:01,06:00:01,27.7 °N,85.3 °E,10,4.1,Nepal
2015-06-14,07:47:52,13:17:52,27.5 °N,86.0 °E,10,4.0,Nepal
2015-06-13,01:18:29,06:48:29,27.6 °N,86.0 °E,10,4.6,Nepal
2015-06-12,18:29:31,23:59:31,14.1 °N,93.5 °E,38,5.2,Andaman Islands
2015-06-12,04:34:07,10:04:07,27.8 °N,86.1 °E,10,3.8,Nepal
2015-06-11,19:37:06,01:07:06/12-06,28.3 °N,84.8 °E,10,4.0,Nepal
2015-06-11,16:12:17,21:42:17,27.9 °N,85.7 °E,10,4.7,Nepal-Tibet Border Region
2015-06-11,04:51:26,10:21:26,39.6 °N,143.3 °E,25,6.0,Japan
2015-06-11,04:17:46,09:47:46,27.5 °N,85.7 °E,10,4.0,Nepal
2015-06-10,13:52:05,19:22:05,22.3 °S,68.2 °W,102,6.0,Chile
2015-06-08,06:01:10,11:31:10,41.6 °N,141.9 °E,58,6.0,Japan
2015-06-07,05:17:41,10:47:41,27.6 °N,85.9 °E,10,3.5,Nepal
2015-06-04,23:15:51,04:45:51,06.0 °N,116.6 °E,60,6.0,Malaysia
2015-06-04,13:43:32,19:13:32,27.5 °N,92.9 °E,10,3.2,"East Kameng,Arunachal Pradesh"
2015-06-03,11:28:23,16:58:23,30.5 °N,79.3 °E,10,4.0,"Chamoli,Uttarakhand"
2015-06-02,22:09:08,03:39:08/03-06,25.8 °N,89.9 °E,10,3.9,"Dhubri,Assam"
2015-06-02,20:33:07,02:03:07/03-06,29.8 °N,81.8 °E,10,4.0,Nepal
2015-05-30,18:49:08,00:19:08/31-05,30.8 °N,142.9 °E,10,6.5,"Izu Islands,Japan"
2015-05-30,16:28:19,21:58:19,27.8 °N,85.0 °E,10,4.0,Nepal
2015-05-30,11:23:02,16:53:02,27.8 °N,140.4 °E,660,7.9,"Bonin Islands,Japan"
2015-05-29,07:00:04,13:30:04,56.8 °N,156.7 °W,27,6.9,Alaska
2015-05-29,03:57:54,09:27:54,25.9 °N,90.2 °E,15,3.9,Meghalaya
2015-05-28,15:19:28,20:49:28,25.8 °N,91.2 °E,10,3.5,"Kamrup,Assam"
2015-05-28,11:46:28,17:16:28,28.1 °N,93.4 °E,10,4.0,Arunachal Pradesh
2015-05-26,17:24:14,22:54:14,24.4 °N,93.8 °E,30,4.1,"Churachandpur,Manipur"
2015-05-26,17:07:15,22:37:15,27.9 °N,85.1 °E,10,4.5,Nepal
2015-05-24,04:53:23,10:23:23,16.8 °S,14.1 °W,10,6.1,Southern Mid Atlantic Ridge
2015-05-23,11:53:57,17:23:57,30.4 °N,79.2 °E,10,3.2,"Chamoli, Uttarakhand"
2015-05-22,23:59:34,05:29:34/23-05,11.0 °S,163.1 °E,10,6.7,Solomon Islands
2015-05-22,21:45:17,03:15:17/23-05,10.8 °S,163.5 °E,10,6.8,Solomon Islands
2015-05-22,20:52:36,02:22:36/23-05,24.5 °N,93.4 °E,63,3.2,"Churachandpur, Manipur"
2015-05-22,20:11:35,01:41:35/23-05,24.7 °N,93.2 °E,10,3.9,"Tamenglong, Manipur"
2015-05-20,22:48:58,04:18:58/21-05,10.8 °S,164.1 °E,49,6.5,Solomon Islands
2015-05-20,03:31:43,09:01:43,38.6 °N,70.2 °E,09,5.3,Tajikistan-Afganistan Border
2015-05-19,15:25:37,20:55:37,54.4 °S,132.4 °W,128,6.0,South Pacific Ocean
2015-05-17,11:16:55,16:46:55,24.0 °N,61.3 °E,30,5.2,Off coast of Pakistan
2015-05-16,11:34:10,17:04:10,27.5 °N,86.0 °E,10,5.7,Nepal
2015-05-15,01:42:42,07:12:42,27.8 °N,84.7 °E,10,5.0,Nepal
2015-05-14,16:01:22,21:31:22,24.1 °N,61.4 °E,20,5.3,Off Coast of Pakistan
2015-05-12,21:12:59,02:42:59/13-05,38.9 °N,141.8 °E,50,6.7,Japan
2015-05-12,07:36:54,13:06:54,27.6 °N,86.1 °E,10,6.2,Nepal
2015-05-12,07:34:23,13:01:23,27.6 °N,86.2 °E,15,5.4,Nepal
2015-05-12,07:05:19,12:35:19,27.7 °N,86.0 °E,10,7.3,Nepal
2015-05-09,01:01:41,06:31:41,23.3 °N,70.4 °E,10,3.4,"Kachha,Gujrat"
2015-05-08,03:12:18,08:42:18,01.5 °N,97.7 °E,51,5.9,North Sumatra
2015-05-07,16:21:28,21:51:28,01.5 °N,97.1 °E,10,5.0,North Sumatra
2015-05-07,16:15:24,21:45:24,01.7 °N,97.2 °E,10,5.0,North Sumatra
2015-05-07,11:00:44,12:40:44,27.3 °N,92.2 °E,10,3.2,Arunachal Pradesh
2015-05-07,07:10:24,12:40:24,07.3 °S,154.5 °E,50,7.0,Papua New Guinea
2015-05-05,01:44:04,07:14:04,05.8 °S,151.8 °E,10,7.3,Papua New Guinea
2015-05-01,08:58:45,14:28:45,10.8 °N,92.0 °E,10,5.4,Andaman Island
2015-05-01,08:06:06,13:36:06,05.2 °S,151.7 °E,60,6.5,Papua New Guinea
2015-04-30,20:33:19,02:03:19/01-05,26.0 °N,94.8 °E,10,3.5,Nagaland
2015-04-30,20:19:00,01:49:00/01-05,26.7 °N,92.6 °E,10,3.4,"Tezpur, Assam"
2015-04-30,19:21:20,00:51:20/01-05,26.5 °N,94.3 °E,10,4.7,Assam-Nagaland Border
2015-04-30,10:44:59,16:14:59,05.4 °S,151.8 °E,35,6.7,New Britain Region P.N.G
2015-04-30,09:00:21,14:30:21,28.7 °N,96.5 °E,10,3.8,Arunachal Pradesh-China Border
2015-04-29,22:10:53,03:40:53/30-04,28.4 °N,87.3 °E,16,4.7,Tibet
2015-04-29,00:48:19,06:18:19,26.8 °N,92.5 °E,05,3.5,"Sonitpur, Assam"
2015-04-28,05:03:24,10:33:24,37.3 °N,72.1 °E,143,5.1,Tajakistan
2015-04-27,12:35:49,18:05:49,26.7 °N,88.1 °E,10,5.1,Nepal-India Border
2015-04-26,16:26:05,21:56:05,27.6 °N,85.7 °E,10,5.3,Nepal
2015-04-26,15:56:51,21:26:51,26.3 °N,92.8 °E,30,3.2,"Nagaon,Assam"
2015-04-26,07:09:08,12:39:08,27.6 °N,85.9 °E,10,6.9,Nepal
2015-04-25,06:45:20,12:15:20,28.1 °N,84.8 °E,10,6.6,Nepal
2015-04-25,06:11:25,11:41:25,28.1 °N,84.6 °E,10,7.9,Nepal
2015-04-24,13:56:15,19:26:15,51.7 °N,130.8 °W,40,6.1,Canada
2015-04-24,03:36:48,09:06:48,41.9 °S,173.1 °E,58,6.1,New Zealand
2015-04-23,23:58:20,05:28:20/24-04,12.9 °N,95.4 °E,10,5.1,Andaman Sea
2015-04-23,20:26:37,01:56:37/24-04,27.3 °N,88.1 °E,10,4.0,West Sikkim
2015-04-22,22:57:13,04:27:13/23-04,12.2 °S,166.2 °E,22,6.0,Santa Cruz Islands
2015-04-21,14:02:16,19:32:16,28.9 °N,82.4 °E,05,4.9,Nepal
2015-04-21,00:17:28,05:47:28,14.3 °N,92.9 °E,10,5.0,North of Andaman Islands
2015-04-20,12:00:01,17:30:01,24.2 °N,122.6 °E,45,6.5,Taiwan
2015-04-20,01:43:01,06:13:01,24.2 °N,122.4 °E,50,6.3,Taiwan
2015-04-19,18:40:21,00:10:21/20-04,02.0 °N,99.0 °E,125,5.2,Northern Sumatra
